club,last_name,first_name,position,base_salary,guaranteed_compensation,
SJ,Thompson,Tommy,M,150000,155000,Tommy Thompson
SJ,Urena,Marco,F,275004,289420.67,Marco Urena
SJ,Wondolowski,Chris,F,800000,800000,Chris Wondolowski
SJ,Wynne,Marvell,D,245808,257058,Marvell Wynne
SJ,Yueill,Jackson,M,124992,175992,Jackson Yueill
TOR,Alseth,Oyvind,M-D,53004,53004,Oyvind Alseth
TOR,Altidore,Jozy,F,4875000,4875000,Jozy Altidore
TOR,Aubrey,Brandon,D,75000,93750,Brandon Aubrey
TOR,Beitashour,Steven,D,250000,264000,Steven Beitashour
TOR,Bono,Alex,GK,70000,90200,Alex Bono
TOR,Bradley,Michael,M,6000000,6500000,Michael Bradley
TOR,Camargo,Sergio,M,65004,65004,Sergio Camargo
TOR,Chapman,Jay,M,90000,108500,Jay Chapman
TOR,Cheyrou,Benoit,M,65004,65004,Benoit Cheyrou
TOR,Cooper,Armando,M,189000,202333.33,Armando Cooper
TOR,Delgado,Marco,M,210000,210000,Marco Delgado
TOR,Edwards,Raheem,F,53004,53004,Raheem Edwards
TOR,Endoh,Tsubasa,F,54075,54075,Tsubasa Endoh
TOR,Giovinco,Sebastian,F,5600000,7115555.67,Sebastian Giovinco
TOR,Hagglund,Nick,D,100008,109633,Nick Hagglund
TOR,Hamilton,Jordan,F,69457.5,81957.5,Jordan Hamilton
TOR,Hernandez,Jason,D,65004,65004,Jason Hernandez
TOR,Irwin,Clint,GK,200004,211316.7,Clint Irwin
